İstanbul;İstanbul;IST/LTFM
İstanbul;Sabiha Gökçen;SAW/LTFJ
Antalya;Antalya;AYT/LTAI
İzmir;Adnan Menderes;ADB/LTBJ
Ankara;Esenboğa;ESB/LTAC
Adana;Şakirpaşa;ADA/LTAF
Muğla;Milas-Bodrum;BJV/LTFE
Trabzon;Trabzon;TZX/LTCG
Muğla;Dalaman;DLM/LTBS
Gaziantep;Gaziantep;GZT/LTAJ
Kayseri;Erkilet;ASR/LTAU
Diyarbakır;Diyarbakır;DIY/LTCC
Van;Van Ferit Melen;VAN/LTCI
Samsun;Samsun Çarşamba;SZF/LTFH
Hatay;Hatay;HTY/LTDA
Erzurum;Erzurum;ERZ/LTCE
Ordu;Ordu-Giresun;OGU/LTCB
Konya;Konya;KYA/LTAN
Malatya;Erhaç;MLX/LTAT
Mardin;Mardin;MQM/LTCR
Antalya;Gazipaşa;GZP/LTFG
Elazığ;Elazığ;EZS/LTCP
Şanlıurfa;Şanlıurfa GAP;GNY/LTCH
Batman;Batman;BAL/LTCJ
Kars;Kars Harakani;KSY/LTCF
Sivas;Sivas Nuri Demirağ;VAS/LTAR
Muş;Muş Sultan Alparslan;MSR/LTCK
Denizli;Denizli Çardak;DNZ/LTAY
Şırnak;Şırnak Şerafettin Elçi;NKT/LTCV
Erzincan;Erzincan Yıldırım Akbulut;ERC/LTCD
Balıkesir;Balıkesir Koca Seyit;EDO/LTFD
Nevşehir;Nevşehir Kapadokya;NAV/LTAZ
Ağrı;Ağrı Ahmed-i Hani;AJI/LTCO
Iğdır;Iğdır Şehit Bülent Aydın;IGD/LTCT
Kahramanmaraş;Kahramanmaraş;KCM/LTCN
Bingöl;Bingöl;BGG/LTCU
Adıyaman;Adıyaman;ADF/LTCP
Hakkâri;Hakkâri Yüksekova Selahaddin Eyyubi ;YKO/LTCW
Amasya;Amasya Merzifon;MZH/LTAP
Eskişehir;Hasan Polatkan;AOE/LTBY
Çanakkale;Çanakkale;CKZ/LTBH
Bursa;Bursa Yenişehir;YEI/LTBR
Sinop;Sinop;SIC/LTCM
Zonguldak;Zonguldak Çaycuma;ONQ/LTAS
Isparta;Isparta Süleyman Demirel;ISE/LTFC
Siirt;Siirt;SXZ/LTCL
Kastamonu;Kastamonu Uzunyazı;KFS/LTAL
Kütahya;Zafer;KZR/LTBZ
Kocaeli;Kocaeli Cengiz Topel;KCO/LTBQ
Tekirdağ;Tekirdağ Çorlu;TEQ/LTBU
İstanbul;Atatürk;IST/LTBA
Uşak;Uşak;USQ/LTBO
Tokat;Tokat;TJK/LTAW
Aydın;Aydın Çıldır;CII/LTBD
Balıkesir;Balıkesir Merkez;BZI/LTBF
